|      | epoch| loss               | train_accuracy      | validation_accuracy |
| 0    | 250  | 8.601667344448154  | 0.8511111111111112  | 0.76 |
| ---- | ---- | ------------------ | ------------------- | ---- |
| 1    | 249  | 6.718869936662166  | 0.8866666666666667  | 0.76 |
| 2    | 248  | 8.742202471751918  | 0.8666666666666667  | 0.75 |
| 3    | 247  | 8.552063526146176  | 0.8488888888888889  | 0.76 |
| 4    | 246  | 8.992538478392255  | 0.8644444444444445  | 0.75 |
| 5    | 245  | 8.673407726095611  | 0.8466666666666667  | 0.76 |
| 6    | 244  | 8.40658839503322   | 0.8688888888888889  | 0.75 |
| 7    | 243  | 7.413897499019057  | 0.8866666666666667  | 0.75 |
| 8    | 242  | 9.660641077270455  | 0.8444444444444444  | 0.75 |
| 9    | 241  | 8.736883516300846  | 0.8622222222222222  | 0.75 |
| 10   | 240  | 8.107710099598206  | 0.8755555555555555  | 0.75 |
| 11   | 239  | 7.314423237673521  | 0.8955555555555555  | 0.75 |
| 12   | 238  | 7.219044007473327  | 0.8777777777777778  | 0.75 |
| 13   | 237  | 8.378630235702643  | 0.86                | 0.75 |
| 14   | 236  | 8.490875568762325  | 0.8666666666666667  | 0.75 |
| 15   | 235  | 8.932343651018208  | 0.86                | 0.76 |
| 16   | 234  | 8.182482160818363  | 0.8488888888888889  | 0.75 |
| 17   | 233  | 8.457898213580824  | 0.8688888888888889  | 0.75 |
| 18   | 232  | 7.391457418145038  | 0.88                | 0.76 |
| 19   | 231  | 7.339341066198128  | 0.8822222222222222  | 0.76 |
| 20   | 230  | 8.836475956329352  | 0.8577777777777778  | 0.75 |
| 21   | 229  | 9.56400076865345   | 0.8533333333333334  | 0.76 |
| 22   | 228  | 7.464773590127142  | 0.8755555555555555  | 0.75 |
| 23   | 227  | 7.003724269277767  | 0.8822222222222222  | 0.76 |
| 24   | 226  | 8.42475463378203   | 0.8666666666666667  | 0.75 |
| 25   | 225  | 6.779415405496417  | 0.8933333333333333  | 0.76 |
| 26   | 224  | 8.5838920407897    | 0.8711111111111111  | 0.75 |
| 27   | 223  | 8.209230112216835  | 0.8444444444444444  | 0.76 |
| 28   | 222  | 7.636659510198947  | 0.8777777777777778  | 0.75 |
| 29   | 221  | 8.241680666098066  | 0.88                | 0.76 |
| 30   | 220  | 7.3431922005134425 | 0.8888888888888888  | 0.75 |
| 31   | 219  | 8.997257016757807  | 0.8622222222222222  | 0.75 |
| 32   | 218  | 7.243550223994713  | 0.8888888888888888  | 0.76 |
| 33   | 217  | 7.9028199329462865 | 0.8622222222222222  | 0.75 |
| 34   | 216  | 7.442680495888505  | 0.8755555555555555  | 0.75 |
| 35   | 215  | 8.13097745012358   | 0.8644444444444445  | 0.75 |
| 36   | 214  | 8.222885254186762  | 0.8688888888888889  | 0.76 |
| 37   | 213  | 7.360403552822197  | 0.8711111111111111  | 0.76 |
| 38   | 212  | 7.578362387398157  | 0.8733333333333333  | 0.76 |
| 39   | 211  | 6.849773448592708  | 0.9066666666666666  | 0.75 |
| 40   | 210  | 8.1140447984785    | 0.8644444444444445  | 0.75 |
| 41   | 209  | 8.61707004178194   | 0.8822222222222222  | 0.76 |
| 42   | 208  | 7.93496801111363   | 0.8733333333333333  | 0.75 |
| 43   | 207  | 8.219893195065518  | 0.8733333333333333  | 0.75 |
| 44   | 206  | 7.605115589557878  | 0.8866666666666667  | 0.75 |
| 45   | 205  | 8.227716876670124  | 0.8622222222222222  | 0.75 |
| 46   | 204  | 8.500219776679755  | 0.8622222222222222  | 0.76 |
| 47   | 203  | 8.697254811028602  | 0.8644444444444445  | 0.75 |
| 48   | 202  | 7.687348371179661  | 0.8844444444444445  | 0.75 |
| 49   | 201  | 8.791876861363882  | 0.8644444444444445  | 0.76 |
| 50   | 200  | 8.650344531487866  | 0.8644444444444445  | 0.75 |
| 51   | 199  | 8.992908429880494  | 0.86                | 0.76 |
| 52   | 198  | 8.154124820936604  | 0.8777777777777778  | 0.76 |
| 53   | 197  | 7.815861060264048  | 0.8733333333333333  | 0.76 |
| 54   | 196  | 9.523619476672975  | 0.8488888888888889  | 0.76 |
| 55   | 195  | 7.948328407369758  | 0.8644444444444445  | 0.76 |
| 56   | 194  | 8.226398498747232  | 0.86                | 0.76 |
| 57   | 193  | 8.044450174669453  | 0.88                | 0.77 |
| 58   | 192  | 8.345697186106582  | 0.8644444444444445  | 0.75 |
| 59   | 191  | 8.702536109741176  | 0.86                | 0.76 |
| 60   | 190  | 8.178103156713455  | 0.8666666666666667  | 0.76 |
| 61   | 189  | 9.704654351901462  | 0.8466666666666667  | 0.76 |
| 62   | 188  | 7.683175516725883  | 0.8933333333333333  | 0.75 |
| 63   | 187  | 7.511833955040217  | 0.9022222222222223  | 0.76 |
| 64   | 186  | 7.856376519344112  | 0.8644444444444445  | 0.75 |
| 65   | 185  | 7.9434843397207    | 0.88                | 0.75 |
| 66   | 184  | 9.246059584374514  | 0.8622222222222222  | 0.74 |
| 67   | 183  | 7.241761278699534  | 0.8977777777777778  | 0.76 |
| 68   | 182  | 7.666122518281092  | 0.8733333333333333  | 0.76 |
| 69   | 181  | 8.414051607290837  | 0.8644444444444445  | 0.77 |
| 70   | 180  | 8.431676684239504  | 0.8666666666666667  | 0.76 |
| 71   | 179  | 8.876914844426816  | 0.8577777777777778  | 0.76 |
| 72   | 178  | 8.278730982976782  | 0.8822222222222222  | 0.76 |
| 73   | 177  | 7.732827498013627  | 0.8644444444444445  | 0.76 |
| 74   | 176  | 8.856512222951249  | 0.8688888888888889  | 0.75 |
| 75   | 175  | 8.494450139020401  | 0.8644444444444445  | 0.77 |
